"org","orgLabel"
"http://scholars.cornell.edu/individual/org26592","Tri-Institutional Training Program in Computational Biology and Medicine"
"http://scholars.cornell.edu/individual/org34615","Cornell Lab of Ornithology"
"http://scholars.cornell.edu/individual/org17839","NUTRISYSTEM INC. CORPORATION"
"http://scholars.cornell.edu/individual/org25467","PARTNERSHIP FOR CLEAN COMPETITION"
"http://scholars.cornell.edu/individual/org17977","BRAIN & BEHAVIOR RESEARCH FOUNDATION"
"http://scholars.cornell.edu/individual/org84818","Geneva Experiment Station Library (Frank A. Lee Library)"
"http://scholars.cornell.edu/individual/org17437","BOEHRINGER INGELHEIM VETMEDICA INC."
"http://scholars.cornell.edu/individual/org74438","Information Science"
"http://scholars.cornell.edu/individual/org99824","NYS DEPT OF MOTOR VEHICLES"
"http://scholars.cornell.edu/individual/org91603","HANS-BOCKLER-STIFTUNG"
"http://scholars.cornell.edu/individual/org32799","ELECTRIC POWER RESEARCH INSTITUE"
"http://scholars.cornell.edu/individual/org75025","SYNGENTA CROP PROTECTION"
"http://scholars.cornell.edu/individual/org74616","BOYCE THOMPSON INSTITUTE"
"http://scholars.cornell.edu/individual/org77852","Clarke Center for International and Comparative Legal Studies"
"http://scholars.cornell.edu/individual/org82723","TERRA FOUNDATION FOR AMERICAN ART"
"http://scholars.cornell.edu/individual/org41179","OREGON STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org91107","GREAT LAKES FISHERY TRUST"
"http://scholars.cornell.edu/individual/org66940","CLEMSON UNIVERSITY"
"http://scholars.cornell.edu/individual/org92059","Office of the Provost"
"http://scholars.cornell.edu/individual/org33882","Nemo Farm Animal Hospital"
"http://scholars.cornell.edu/individual/org24671","DIRECTORATE FOR COMPUTER & INFORMATION SCIENCE & ENGINEERING NSF"
"http://scholars.cornell.edu/individual/org66250","RESEARCH CORPORATION"
"http://scholars.cornell.edu/individual/org74492","RADIABEAM TECHNOLOGIES"
"http://scholars.cornell.edu/individual/org42587","UNIVERSITY OF BRITISH COLUMBIA"
"http://scholars.cornell.edu/individual/org95547","Cornell Language Acquisition Laboratory (CLAL)"
"http://scholars.cornell.edu/individual/org71748","Energy Materials Center at Cornell (EMC2)"
"http://scholars.cornell.edu/individual/org66900","FRIENDS OF THE MEXICAN FUND FOR THE CONSERVATION OF NATURE"
"http://scholars.cornell.edu/individual/org22367","Mathematics Library"
"http://scholars.cornell.edu/individual/org32839","International Service for the Acquisition of Agri-Biotech Applications (ISAAA)"
"http://scholars.cornell.edu/individual/org87894","Industrial and Labor Relations Library (Martin P. Catherwood Library)"
"http://scholars.cornell.edu/individual/org98965","BINGHAMTON UNIVERSITY"
"http://scholars.cornell.edu/individual/org94495","Institute for the Study of the Continents (INSTOC)"
"http://scholars.cornell.edu/individual/org45008","Latin American Studies Program (LASP)"
"http://scholars.cornell.edu/individual/org90188","UES INC."
"http://scholars.cornell.edu/individual/org50607","ABBY S AND HOWARD P MILSTEIN FOUNDATION"
"http://scholars.cornell.edu/individual/org91735","SAUDI BASIC INDUSTRIES CORPORATION"
"http://scholars.cornell.edu/individual/org49898","DAVID & LUCILE PACKARD FND"
"http://scholars.cornell.edu/individual/org77636","Laboratory of Atomic and Solid State Physics (LASSP)"
"http://scholars.cornell.edu/individual/org74095","GERMANTOWN OPERATIONS OFFICE DOE"
"http://scholars.cornell.edu/individual/org56519","International and Comparative Labor"
"http://scholars.cornell.edu/individual/org99217","NATL INST ON AGING, NIH"
"http://scholars.cornell.edu/individual/org29982","Institute for Resource Information Systems (IRIS)"
"http://scholars.cornell.edu/individual/org34063","NE COOPERATIVE COUNCIL"
"http://scholars.cornell.edu/individual/org26154","ASSOCIATION UNIVERSITAIRE POUR LA RECHERCHE ECONOMIQUE SUR LE DEVELOPPEMENT"
"http://scholars.cornell.edu/individual/org12083","Business Simulation Laboratory"
"http://scholars.cornell.edu/individual/org17934","NORTH DAKOTA STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org20920","Berger International Legal Studies Program"
"http://scholars.cornell.edu/individual/org55272","Management and Organizations"
"http://scholars.cornell.edu/individual/org66551","EMD MILLIPORE CORPORATION"
"http://scholars.cornell.edu/individual/org32496","Community and Regional Development Institute (CaRDI)"
"http://scholars.cornell.edu/individual/org99512","PEW CHARITABLE TRUSTS"
"http://scholars.cornell.edu/individual/org42472","NATL HISTORICAL PUBS/REC COMM, NATL ARCHIVES"
"http://scholars.cornell.edu/individual/org90958","MONSANTO"
"http://scholars.cornell.edu/individual/org90264","UNIVERSITY OF CHICAGO"
"http://scholars.cornell.edu/individual/org82228","SAMUEL H. KRESS FOUNDATION"
"http://scholars.cornell.edu/individual/org42581","AFRICARICE"
"http://scholars.cornell.edu/individual/org26013","UNIVERSITY OF YORK"
"http://scholars.cornell.edu/individual/org78855","Center for Applied Math (CAM)"
"http://scholars.cornell.edu/individual/org16912","AMES RESEARCH CENTER, NASA"
"http://scholars.cornell.edu/individual/org99831","KENSEY-NASH"
"http://scholars.cornell.edu/individual/org75277","NATIONAL NUCLEAR SECURITY ADMINISTRATION DOE"
"http://scholars.cornell.edu/individual/org57416","Iris Cantor Women's Health Center"
"http://scholars.cornell.edu/individual/org49972","HDR INC."
"http://scholars.cornell.edu/individual/org50271","HEALTH RESEARCH INC"
"http://scholars.cornell.edu/individual/org65299","Institute for Comparative and Environmental Toxicology (ICET)"
"http://scholars.cornell.edu/individual/org83513","WORLD VISION, INC."
"http://scholars.cornell.edu/individual/org49588","ENVIRONMENTAL PROTECT AGENCY"
"http://scholars.cornell.edu/individual/org47053","Human Dimensions Research Unit"
"http://scholars.cornell.edu/individual/org24967","Office of the AUL for Central Library Operations"
"http://scholars.cornell.edu/individual/org34159","Army Reserve Officers Training Corps (AROTC)"
"http://scholars.cornell.edu/individual/org83062","NATIONAL MARINE MAMMAL LABORATORY"
"http://scholars.cornell.edu/individual/org17041","HISTOGENICS"
"http://scholars.cornell.edu/individual/org41645","NIH-NATIONAL CENTER FOR COMPLEMENTARY AND ALTERNATIVE MEDICINE NIH"
"http://scholars.cornell.edu/individual/org25721","ALBANY PINE BUSH PRESERVE COMMISSION"
"http://scholars.cornell.edu/individual/org42501","NETHERLANDS ORGANISATION FOR SCIENTIFIC RESEARCH"
"http://scholars.cornell.edu/individual/org99934","PARTNERS FOR ECONOMIC POLICY"
"http://scholars.cornell.edu/individual/org66365","UNIVERSITY OF NEW HAMPSHIRE"
"http://scholars.cornell.edu/individual/org17952","HUDSON RIVER FOUNDATION"
"http://scholars.cornell.edu/individual/org82432","Cornell Prison Education Program (CPEP)"
"http://scholars.cornell.edu/individual/org35459","Africana Studies"
"http://scholars.cornell.edu/individual/org49305","UNIVERSITY OF UTAH"
"http://scholars.cornell.edu/individual/org91601","NEW YORK APPLE GROWERS LLC"
"http://scholars.cornell.edu/individual/org57719","NATIONAL SPACE GRANT FOUNDATION"
"http://scholars.cornell.edu/individual/org65985","INTERNATIONAL FOOD POLICY RSCH INST"
"http://scholars.cornell.edu/individual/org34156","OSWEGO COUNTY SOIL AND WATER CONSERVATION DISTRICT"
"http://scholars.cornell.edu/individual/org66988","AMERICAN COLLEGE OF VETERINARY INTERNAL MEDICINE"
"http://scholars.cornell.edu/individual/org91088","GALLEON PHARMACEUTICALS INC."
"http://scholars.cornell.edu/individual/org33784","FERMI NATIONAL ACCELERATOR LABORATORY"
"http://scholars.cornell.edu/individual/org98423","CHICAGO OPERATIONS OFFICE DOE"
"http://scholars.cornell.edu/individual/org91480","UNIVERSITY OF NEUCHATEL"
"http://scholars.cornell.edu/individual/org98426","NATL SCIENCE FOUNDATION"
"http://scholars.cornell.edu/individual/org25049","WEILL CORNELL MEDICAL COLLEGE/QATAR"
"http://scholars.cornell.edu/individual/org41787","PIONEER HI-BRED INTERNATL INC"
"http://scholars.cornell.edu/individual/org99249","UNIVERSITY OF CALIFORNIA RIVERSIDE"
"http://scholars.cornell.edu/individual/org17251","GORDON & BETTY MOORE FOUNDATION"
"http://scholars.cornell.edu/individual/org88872","New York State AFL-CIO/Cornell Union Leadership Institute"
"http://scholars.cornell.edu/individual/org91170","ONONDAGA COUNTY"
"http://scholars.cornell.edu/individual/org81400","Cornell Tech (NYC)"
"http://scholars.cornell.edu/individual/org58164","NATIONAL INSTITUTE OF STANDARDS & TECHNOLOGY"
"http://scholars.cornell.edu/individual/org81917","Plant Biology Section"
"http://scholars.cornell.edu/individual/org98836","UNIVERSITY OF QUEENSLAND"
"http://scholars.cornell.edu/individual/org82833","NATIONAL GRAPE AND WINE INITIATIVE"
"http://scholars.cornell.edu/individual/org41657","NYS OFFICE OF MENTAL HEALTH"
"http://scholars.cornell.edu/individual/org20500","Center for Sustainable Global Enterprise"
"http://scholars.cornell.edu/individual/org25691","INTERNATIONAL BUSINESS MACHINES"
"http://scholars.cornell.edu/individual/org26363","Cornell Institute for Healthy Futures"
"http://scholars.cornell.edu/individual/org25326","CITY UNIVERSITY OF NEW YORK"
"http://scholars.cornell.edu/individual/org17734","COMPUTING RESEARCH ASSOCIATION"
"http://scholars.cornell.edu/individual/org26179","NEW YORK STEM CELL FOUNDATION"
"http://scholars.cornell.edu/individual/org33948","SAVE THE SUMMER FLOUNDER FISHERY FUND"
"http://scholars.cornell.edu/individual/org82201","DIRECTORATE FOR EDUCATION AND HUMAN RESOURCES NSF"
"http://scholars.cornell.edu/individual/org24788","Molecular Biology and Genetics"
"http://scholars.cornell.edu/individual/org44742","Human Development"
"http://scholars.cornell.edu/individual/org34190","RAND CORPORATION"
"http://scholars.cornell.edu/individual/org18672","Cornell Energy Institute"
"http://scholars.cornell.edu/individual/org12817","Center for Research on End-of-Life Care"
"http://scholars.cornell.edu/individual/org91148","FLIR SYSTEMS"
"http://scholars.cornell.edu/individual/org50061","MATHWORKS, INC"
"http://scholars.cornell.edu/individual/org98359","BILL & MELINDA GATES FOUNDATION"
"http://scholars.cornell.edu/individual/org69811","English"
"http://scholars.cornell.edu/individual/org65602","DIRECTORATE FOR MATHEMATICAL & PHYSICAL SCIENCES NSF"
"http://scholars.cornell.edu/individual/org66160","NATURE CONSERVANCY"
"http://scholars.cornell.edu/individual/org60237","Stem Cell and Transgenic Core Facility"
"http://scholars.cornell.edu/individual/org66722","STROLL, INC."
"http://scholars.cornell.edu/individual/org49614","TIOGA COUNTY SOIL & WATER CONSERVATION DISTRICT"
"http://scholars.cornell.edu/individual/org49216","DEPARTMENT OF ENERGY"
"http://scholars.cornell.edu/individual/org72049","CIO Administration"
"http://scholars.cornell.edu/individual/org99676","SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA"
"http://scholars.cornell.edu/individual/org56330","Center for Healthcare Informatics and Policy (CHIP)"
"http://scholars.cornell.edu/individual/org95974","Statistical Science"
"http://scholars.cornell.edu/individual/org50458","THE BOB WOODRUFF FOUNDATION"
"http://scholars.cornell.edu/individual/org34350","ALFA WASSERMANN S.P.A"
"http://scholars.cornell.edu/individual/org91469","GENERAL ELECTRIC"
"http://scholars.cornell.edu/individual/org43229","Psychology"
"http://scholars.cornell.edu/individual/org78867","Center for Sleep Medicine"
"http://scholars.cornell.edu/individual/org46941","Mann Library (Albert R. Mann Library)"
"http://scholars.cornell.edu/individual/org87995","Cornell Death Penalty Project"
"http://scholars.cornell.edu/individual/org57769","FRANKIE'S FRIENDS CHARITABLE PET FOUNDATION"
"http://scholars.cornell.edu/individual/org74646","AEROSPACE CORPORATION"
"http://scholars.cornell.edu/individual/org44670","College of Veterinary Medicine"
"http://scholars.cornell.edu/individual/org50356","AMERICAN WILDLIFE CONSERVATION FOUNDATION"
"http://scholars.cornell.edu/individual/org57937","FISH & WILDLIFE SERVICE, DOI"
"http://scholars.cornell.edu/individual/org32559","The Emerging Markets Institute (EMI)"
"http://scholars.cornell.edu/individual/org50733","BUREAU OF JUSTICE STATISTICS, DOJ"
"http://scholars.cornell.edu/individual/org34394","TOTAL S.A."
"http://scholars.cornell.edu/individual/org82944","Environmental Health & Safety"
"http://scholars.cornell.edu/individual/org17922","CARY INSTITUTE OF ECOSYSTEM STUDIES"
"http://scholars.cornell.edu/individual/org64911","Office of the Dean of Johnson School of Management"
"http://scholars.cornell.edu/individual/org74062","CENTRAL JERSEY FAMILY HEALTH CONSORTIUM"
"http://scholars.cornell.edu/individual/org22759","Social Statistics"
"http://scholars.cornell.edu/individual/org74736","LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH"
"http://scholars.cornell.edu/individual/org66748","THE STANTON FOUNDATION"
"http://scholars.cornell.edu/individual/org14631","Labor Dynamics Institute (LDI)"
"http://scholars.cornell.edu/individual/org99844","TERUMO MEDICAL CORPORATION"
"http://scholars.cornell.edu/individual/org98911","JOHN TEMPLETON FOUNDATION"
"http://scholars.cornell.edu/individual/org50622","NORTH AMERICAN POLLINATOR PROTECTION CAMPAIGN"
"http://scholars.cornell.edu/individual/org17825","SOUTH AUSTRALIAN RESEARCH & DEVELOPMENT INSTITUTE"
"http://scholars.cornell.edu/individual/org95376","Art"
"http://scholars.cornell.edu/individual/org17808","UNIVERSITY OF MISSOURI"
"http://scholars.cornell.edu/individual/org24826","GLYCOBIA INC."
"http://scholars.cornell.edu/individual/org66997","AMERICAN DIABETES ASSOCIATION"
"http://scholars.cornell.edu/individual/org42019","EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH"
"http://scholars.cornell.edu/individual/org42229","CEFIC - EUROPEAN CHEMICAL INDUSTRY COUNCIL"
"http://scholars.cornell.edu/individual/org17366","HOWARD UNIVERSITY"
"http://scholars.cornell.edu/individual/org33206","Asian American Studies Program"
"http://scholars.cornell.edu/individual/org47394","Institute for Workplace Studies (IWS)"
"http://scholars.cornell.edu/individual/org58073","GEOLOGICAL SURVEY, DOI"
"http://scholars.cornell.edu/individual/org40332","Office of the CIO and Vice President for Information Technology"
"http://scholars.cornell.edu/individual/org51992","Institute for German Cultural Studies"
"http://scholars.cornell.edu/individual/org74664","Office of the Vice President of Cornell New York City Tech"
"http://scholars.cornell.edu/individual/org42850","Ornithology Library (Cornell Lab of Ornithology Adelson Library)"
"http://scholars.cornell.edu/individual/org50135","Medieval Studies Program"
"http://scholars.cornell.edu/individual/org74068","AUBURN UNIVERSITY"
"http://scholars.cornell.edu/individual/org33226","SIMONS FOUNDATION"
"http://scholars.cornell.edu/individual/org65757","LOUISIANA STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org41689","CHS FOUNDATION"
"http://scholars.cornell.edu/individual/org25631","UNITED STATES-ISRAEL BINATIONAL SCIENCE FOUNDATION"
"http://scholars.cornell.edu/individual/org30935","Music"
"http://scholars.cornell.edu/individual/org57831","AMERICAN SOCIETY FOR VETERINARY CLINICAL PATHOLOGY"
"http://scholars.cornell.edu/individual/org91542","KITWARE INC"
"http://scholars.cornell.edu/individual/org82933","UNIVERSITY OF MINNESOTA"
"http://scholars.cornell.edu/individual/org83709","Cornell Institute for Hospitality Labor and Employment Relations (CIHLER)"
"http://scholars.cornell.edu/individual/org71631","International Nutrition Program"
"http://scholars.cornell.edu/individual/org25087","SOUTH DAKOTA STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org17921","Office of the AUL for Research and Learning Services"
"http://scholars.cornell.edu/individual/org24720","NATL INST OF ALLERGY & INFECTIOUS DISEASE NIH"
